TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF APR 14, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF APR 14, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,6910.1,2132.1,2542.4,104,53.4,0,12,0,1217.8,848.4,0
"WEEK OF APR 14, 2014 (B)",Home Depot Home Center : Vignette,3.1,0,0,0,3.1,0,0,0,0,0,0
"WEEK OF APR 21, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.4,0,0,0,0.4,0,0,0,0,0,0
"WEEK OF APR 21, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,5227.3,1281.1,1335.8,46.5,58.1,0,3.5,436.2,1217.8,848.4,0
"WEEK OF APR 21, 2014 (B)",Home Depot Home Center : Vignette,67.2,0,21.6,0,45.6,0,0,0,0,0,0
"WEEK OF APR 28, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.5,0,0,0,0.5,0,0,0,0,0,0
"WEEK OF APR 28, 2014 (B)",Home Depot Home Center : Home & Building Products DR,1,0,0,0,0,0,0,0,0,0,1
"WEEK OF APR 28, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,9894.6,2305.1,2320,136.5,88.5,2396.6,0,550.3,1398.3,696.8,2.5
"WEEK OF APR 28, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,11.8,0,0,0,0,0,0,11.8,0,0,0
"WEEK OF APR 28, 2014 (B)",Home Depot Home Center : Vignette,8,0,8,0,0,0,0,0,0,0,0
"WEEK OF MAY 05, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF MAY 05, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,7559.5,2397.4,2276.2,125.3,114.8,0,5.4,523.5,1533.7,583.2,0
"WEEK OF MAY 05, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,11.7,0,0,0,0,0,0,11.7,0,0,0
